date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,61281,61907,58303,58303,1121936,8951667000000,63.77000045776367,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,59557,60654,58616,59086,857441,9071887000000,63.900001525878906,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,59557,61124,59243,60497,406290,9288527000000,64.04000091552734,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,61437,61751,60183,60967,611000,9360690000000,64.20999908447266,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,60183,60810,59870,60027,315232,9216365000000,64.19000244140625,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,60183,61124,59557,59713,502548,9168154000000,64.16999816894531,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,59870,60497,59557,60497,386756,9288527000000,64.20999908447266,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,60810,61437,59870,60340,456759,9264422000000,64.23999786376953,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,60654,62534,60027,62378,831154,9577330000000,64.41000366210938,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,60967,61594,60340,61124,574536,9384795000000,64.33000183105469,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,61124,61594,60183,60654,426873,9312633000000,64.33999633789062,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,60654,61281,58930,59086,400780,9071887000000,64.27999877929688,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,59400,61124,59243,59870,543505,9192260000000,64.30000305175781,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,60340,62534,59870,61437,855610,9432852000000,64.3499984741211,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,62064,62064,60183,60654,429036,9312633000000,64.33999633789062,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,60810,61281,59713,60497,679516,9288527000000,64.44999694824219,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,60654,60654,58930,59400,949728,9120097000000,64.4800033569336,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,59243,59400,57989,58303,514518,8951667000000,64.41999816894531,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,58303,59243,58303,59086,468480,9071887000000,64.51000213623047,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,59400,60183,59086,59557,584671,9144203000000,64.70999908447266,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,59870,60340,59400,60340,641865,9264422000000,64.86000061035156,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,60340,60497,59557,59870,291251,9192260000000,64.9000015258789,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,60183,60183,59557,59713,291113,9168154000000,64.94000244140625,"1,145.90",22.71,124.56,513.41,1996.59,2.5
