date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,475500,479500,460000,460000,583676,40105560000000,49.09000015258789,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,470000,474500,465500,470000,303203,40977420000000,49.16999816894531,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,467000,470000,465500,467000,188193,40715862000000,49.130001068115234,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,464500,466500,461000,464000,196934,40454304000000,49.15999984741211,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,460500,464000,460000,461500,170995,40236339000000,49.130001068115234,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,462000,468000,460500,466500,192338,40672269000000,49.119998931884766,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,468000,468000,450000,454500,824740,39626037000000,49.02000045776367,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,457000,460000,454000,458000,322305,39931188000000,49.060001373291016,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,457000,457500,447500,449000,458376,39146514000000,48.900001525878906,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,444500,455500,441500,454000,399846,39582444000000,48.97999954223633,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,458000,458000,449500,452000,216520,39408072000000,48.970001220703125,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,452000,453000,448000,448500,182139,39102921000000,48.959999084472656,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,449000,458000,449000,452500,248959,39451665000000,48.959999084472656,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,454000,461000,452500,454500,328961,39626037000000,48.95000076293945,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,455000,458000,453500,457000,126915,39844002000000,48.959999084472656,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,460000,466000,459500,465500,335773,40585083000000,49.16999816894531,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,471000,471500,465500,469000,240528,40890234000000,49.2599983215332,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,471000,471000,462500,468000,159457,40803048000000,49.290000915527344,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,469000,478000,468000,474500,381576,41369757000000,49.31999969482422,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,475500,476500,465500,469000,269142,40890234000000,49.33000183105469,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,470000,474000,464500,469000,418145,40890234000000,49.36000061035156,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,469000,469000,465000,467500,191245,40759455000000,49.36000061035156,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,470500,476500,468000,475500,259584,41456943000000,49.38999938964844,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,477500,480000,475500,477500,205814,41631315000000,49.41999816894531,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,478500,479000,471500,474000,206533,41326164000000,49.43999862670898,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,473000,474000,468000,470000,197684,40977420000000,49.400001525878906,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,469000,474000,466500,473500,225915,41282571000000,49.45000076293945,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,469000,474000,465500,469000,257733,40890234000000,49.43999862670898,"1,155.10",23.49,124.6,497.95,2020.28,2.5
20101221,470500,493000,470000,493000,751475,42982698000000,49.45000076293945,"1,156.15",24.16,125.39,506.67,2037.09,2.5
20101222,493500,496500,487500,494000,318981,43069884000000,49.52000045776367,"1,154.30",24.16,125.78,505.01,2038.11,2.5
20101223,492000,496000,488000,496000,234000,43244256000000,49.54999923706055,"1,152.30",23.82,125.6,502.39,2037.53,2.5
20101224,496000,496500,488500,491000,165770,42808326000000,49.619998931884766,"1,150.95",23.94,125.65,499.63,2029.6,2.5
20101227,488500,491000,483000,490000,164710,42721140000000,49.65999984741211,"1,149.10",23.81,125.83,496.68,2022.19,2.5
20101228,488000,494500,487500,493000,179369,42982698000000,49.70000076293945,"1,144.50",0.0,0.0,494.95,2033.32,2.5
20101229,489000,490000,484000,487000,189730,42459582000000,49.70000076293945,"1,146.50",23.97,125.92,502.31,2043.49,2.5
20101230,487000,488500,483000,487000,152835,42459582000000,49.720001220703125,"1,130.95",23.79,125.72,510.69,2051.0,2.5
20110103,487000,489500,482000,486000,170542,42372396000000,49.75,"1,124.65",24.11,127.05,518.05,2070.08,3.25
20110104,483500,505000,483500,499500,571314,43549407000000,49.84999847412109,"1,125.50",23.92,126.98,521.35,2085.14,3.25
20110105,502000,513000,501000,507000,426614,44203302000000,49.93000030517578,"1,123.50",23.65,127.64,523.81,2082.55,3.25
20110106,511000,514000,502000,507000,290916,44203302000000,49.95000076293945,"1,123.20",23.55,127.39,527.64,2077.61,3.25
20110107,504000,505000,488500,491000,435325,42808326000000,49.86000061035156,"1,122.20",23.38,127.14,530.84,2086.2,3.25
20110110,491000,492500,485500,488500,269064,42590361000000,49.84999847412109,"1,127.50",23.46,126.98,533.98,2080.81,3.25
20110111,491000,497000,488000,496500,278848,43287849000000,49.90999984741211,"1,126.00",23.77,127.43,533.67,2088.32,3.25
20110112,492500,497500,492000,494000,208518,43069884000000,49.880001068115234,"1,111.50",23.96,128.58,535.43,2094.95,3.25
20110113,491500,494000,480000,481000,549729,41936466000000,49.68999862670898,"1,112.50",24.11,128.37,534.27,2089.48,3.25
20110114,476000,477500,470500,476000,871473,41500536000000,49.66999816894531,"1,115.05",24.37,129.3,535.2,2108.17,3.25
20110117,477500,478000,465000,469500,399610,40933827000000,49.59999847412109,"1,115.50",24.4,129.52,533.01,2099.85,3.25
20110118,465000,471500,463000,466000,287793,40628676000000,49.58000183105469,"1,113.00",23.78,128.25,529.02,2096.48,3.25
20110119,470500,481500,467000,475500,367923,41456943000000,49.54999923706055,"1,112.60",0.0,0.0,532.97,2115.69,3.25
20110120,473000,478000,470000,475500,221929,41456943000000,49.54999923706055,"1,124.50",24.01,128.08,533.36,2106.66,3.25
20110121,473000,475500,469000,469500,218175,40933827000000,49.5,"1,118.50",24.3,128.37,525.75,2069.92,3.25
20110124,466000,477500,464500,474000,194777,41326164000000,49.470001220703125,"1,118.50",24.56,129.1,527.09,2082.16,3.25
20110125,479500,480000,473500,474000,191265,41326164000000,49.45000076293945,"1,121.00",24.3,129.17,522.96,2086.67,3.25
20110126,473000,476000,470500,472500,162798,41195385000000,49.43000030517578,"1,116.50",24.51,129.67,524.71,2110.46,3.25
20110127,474500,477500,467000,468000,283569,40803048000000,49.40999984741211,"1,114.45",25.21,129.99,528.63,2115.01,3.25
20110128,463000,467000,461000,462000,322180,40279932000000,49.33000183105469,"1,115.95",24.5,127.72,527.46,2107.87,3.25
20110131,460500,460500,453000,454000,367222,39582444000000,49.29999923706055,"1,119.88",24.48,128.68,521.38,2069.73,3.25
20110201,467500,469500,461000,461000,289074,40192746000000,49.25,"1,113.95",25.33,130.74,524.5,2072.03,3.25
20110207,465500,476500,465500,472000,378986,41151792000000,49.2400016784668,"1,103.50",26.78,131.97,531.09,2081.74,3.25
20110208,469500,489000,469500,482500,578845,42067245000000,49.16999816894531,"1,101.00",25.84,132.57,531.47,2069.7,3.25
20110209,484500,490000,479000,482000,272817,42023652000000,49.13999938964844,"1,110.65",27.58,132.27,525.74,2045.58,3.25
