date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,23800,24400,23400,23400,11616394,13812458000000,16.670000076293945,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,23600,23700,22700,22800,11758691,13458292000000,16.649999618530273,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,22900,23800,22750,23650,9850014,13960027000000,16.540000915527344,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,23650,24000,23300,23700,8517799,13989541000000,16.600000381469727,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,23600,23650,23100,23350,7311065,13782944000000,16.31999969482422,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,23550,23700,23050,23700,6420573,13989541000000,16.360000610351562,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,23700,24200,23550,23900,8188817,14107596000000,16.389999389648438,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,24300,25300,24200,25300,21524408,14933982000000,16.6200008392334,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,25400,25650,25100,25350,12947289,14963496000000,16.799999237060547,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,24800,25850,24650,25750,18819363,15199607000000,16.950000762939453,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,26000,26000,25100,25200,11277437,14874955000000,16.899999618530273,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,25200,25600,24500,24650,10551194,14550303000000,16.959999084472656,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,24800,25000,24550,24800,7308951,14638844000000,16.81999969482422,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,24050,24150,23400,23500,19537475,13871486000000,16.770000457763672,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,23550,23750,23000,23400,10722538,13812458000000,16.56999969482422,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,23650,24050,23550,23800,9237817,14048568000000,16.690000534057617,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,24000,24150,23250,23450,7911082,13841972000000,16.649999618530273,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,23600,24100,23500,23950,6730217,14137110000000,16.6200008392334,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,23400,23650,23200,23600,9142980,13930513000000,16.59000015258789,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,23650,23900,23250,23300,5620721,13753430000000,16.56999969482422,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,23350,24200,23300,24150,10169510,14255165000000,16.540000915527344,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,24100,24650,23800,24500,9835555,14461762000000,16.520000457763672,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,24300,24500,24000,24350,5446369,14373220000000,16.540000915527344,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,24500,25150,24450,24750,8123939,14609331000000,16.649999618530273,"1,139.25",22.48,124.67,515.0,2009.05,2.5
