date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,50500,52000,50400,50700,6133887,20038262000000,27.920000076293945,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,51500,53200,50500,51300,7399220,20275401000000,27.899999618530277,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,50800,51300,49400,49800,4385100,19682553000000,27.86000061035156,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,49850,51000,48250,50000,5928103,19761600000000,27.729999542236328,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,49250,50900,49200,50000,2990068,19761600000000,27.700000762939453,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,50300,50800,49800,50700,2318033,20042571000000,27.690000534057617,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,50900,52300,50700,51800,2806497,20477420000000,27.729999542236328,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,52100,52600,49900,50600,3474468,20003040000000,27.709999084472656,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,50200,50800,49000,49800,4615393,19686786000000,27.63999938964844,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,48500,50300,48450,49600,5104851,19607723000000,27.559999465942383,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,50000,50100,49000,49250,2339794,19513096000000,27.489999771118164,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,48750,49150,47500,47550,4669211,18839547000000,27.350000381469727,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,47100,48250,47100,47900,2674939,18978219000000,27.25,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,47750,49050,47600,48950,2771481,19394234000000,27.270000457763672,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,48900,50500,48700,50500,3384592,20008352000000,27.3799991607666,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,51500,52300,51100,51400,4912042,20370077000000,27.649999618530277,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,52100,52200,51400,51700,2986677,20488968000000,27.790000915527344,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,50900,52100,50800,51200,2324903,20290816000000,27.84000015258789,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,51500,52000,50100,51600,2661420,20449338000000,27.809999465942383,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,51600,52700,51400,51900,2930186,20568229000000,27.82999992370605,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,52400,52500,51400,52300,2940579,20729209000000,27.8700008392334,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,52100,52800,50700,51100,2988720,20253587000000,27.84000015258789,"1,143.50",22.84,124.48,509.2,1986.14,2.5
