date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,273500,277000,262000,262000,278788,8347320000000,26.540000915527344,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,268500,269000,253000,256000,314867,8156160000000,26.57999992370605,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,254000,257000,233500,245000,515884,7805700000000,26.59000015258789,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,245500,250500,239000,239500,321516,7630470000000,26.489999771118164,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,237000,248000,236500,243000,220714,7741980000000,26.459999084472656,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,243000,250500,243000,250000,155883,7965000000000,26.5,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,252000,253000,245000,246500,160069,7853490000000,26.420000076293945,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,249000,251000,235500,236500,327313,7534890000000,26.479999542236328,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,237500,241500,234000,237500,181605,7566750000000,26.59000015258789,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,233000,241000,230000,240000,310332,7646400000000,26.57999992370605,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,245000,247500,240000,241000,181357,7678260000000,26.540000915527344,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,244000,244000,236500,239000,114162,7614540000000,26.51000022888184,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,233500,239000,233500,236000,98083,7518960000000,26.40999984741211,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,238000,251000,235000,243500,333581,7757910000000,26.3700008392334,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,245000,258000,244500,258000,326880,8219880000000,26.3700008392334,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,260000,264500,255000,260500,199104,8299530000000,26.489999771118164,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,263000,264000,255000,263000,186102,8379180000000,26.399999618530277,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,267000,267000,257500,262500,169199,8363250000000,26.350000381469727,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,265500,266000,252500,265000,230136,8442900000000,26.420000076293945,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,265000,265500,258000,258000,129602,8219880000000,26.399999618530277,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,260000,263000,251500,256500,243019,8172090000000,26.190000534057617,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,256500,262500,256000,261500,161380,8331390000000,26.25,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,262000,265000,257000,261500,143406,8331390000000,26.25,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,262000,275000,260000,275000,282792,8761500000000,26.299999237060547,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,277000,291000,276500,285000,370081,9080100000000,26.31999969482422,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,282000,293000,281000,286500,205406,9127890000000,26.36000061035156,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,286500,290000,281000,286500,160522,9127890000000,26.420000076293945,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,281000,292000,279000,291000,184064,9271260000000,26.479999542236328,"1,155.10",23.49,124.6,497.95,2020.28,2.5
