date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,164000,169500,163500,167000,1304810,7608186000000,17.639999389648438,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,169000,170000,162500,167000,831559,7608186000000,17.459999084472656,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,166000,170000,163000,168500,567371,7676523000000,17.649999618530273,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,169500,170000,167000,168000,426784,7653744000000,17.719999313354492,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,167000,169500,166000,168500,368063,7676523000000,17.709999084472656,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,170000,171500,169000,169500,368956,7722081000000,17.690000534057617,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,171000,173500,171000,172500,499859,7858755000000,17.809999465942383,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,174000,175000,173000,175000,772973,7972650000000,17.34000015258789,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,175000,176000,169000,173000,703138,7881534000000,17.31999969482422,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,168500,171000,167000,169000,780773,7699302000000,17.170000076293945,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,172000,172500,169000,171000,352898,7790418000000,17.149999618530273,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,170500,171500,165000,168500,390433,7676523000000,17.25,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,167500,170000,165500,167000,274888,7608186000000,17.239999771118164,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,167500,167500,162000,165500,523317,7539849000000,17.1299991607666,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,164000,165000,161000,163500,479123,7448733000000,17.030000686645508,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,166500,170500,166000,170000,523471,7744860000000,17.170000076293945,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,171500,171500,167000,169500,378498,7722081000000,17.049999237060547,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,170500,176000,169000,174000,736094,7927092000000,17.079999923706055,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,176500,179000,174500,176500,958771,8040987000000,17.200000762939453,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,177000,179000,176500,177500,429072,8086545000000,17.229999542236328,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,178000,179000,175500,179000,465395,8154882000000,17.389999389648438,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,178500,181000,178000,179000,307115,8154882000000,17.420000076293945,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,179500,180000,175500,177500,330676,8086545000000,17.389999389648438,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,176000,177000,172500,173500,792521,7904313000000,17.40999984741211,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,174000,175500,168500,170500,1034650,7767639000000,17.309999465942383,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,169000,172000,168500,170000,447342,7744860000000,17.15999984741211,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,171000,172500,170500,170500,323881,7767639000000,17.239999771118164,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,167000,169500,166000,168500,534613,7676523000000,17.34000015258789,"1,155.10",23.49,124.6,497.95,2020.28,2.5
20101221,171000,171500,170000,170500,350341,7767639000000,17.31999969482422,"1,156.15",24.16,125.39,506.67,2037.09,2.5
20101222,169500,172000,169000,169000,302305,7699302000000,17.299999237060547,"1,154.30",24.16,125.78,505.01,2038.11,2.5
20101223,168500,169500,166000,166500,319429,7585407000000,17.329999923706055,"1,152.30",23.82,125.6,502.39,2037.53,2.5
20101224,166000,168000,162500,162500,462657,7403175000000,17.399999618530273,"1,150.95",23.94,125.65,499.63,2029.6,2.5
20101227,162000,166500,161500,165500,333170,7539849000000,17.43000030517578,"1,149.10",23.81,125.83,496.68,2022.19,2.5
20101228,166500,169500,166000,168500,396340,7676523000000,17.420000076293945,"1,144.50",0.0,0.0,494.95,2033.32,2.5
20101229,169500,171000,168000,169500,207875,7722081000000,17.420000076293945,"1,146.50",23.97,125.92,502.31,2043.49,2.5
20101230,170000,170500,167000,168000,276605,7653744000000,17.280000686645508,"1,130.95",23.79,125.72,510.69,2051.0,2.5
20110103,169500,178000,169500,178000,885579,8109324000000,17.360000610351562,"1,124.65",24.11,127.05,518.05,2070.08,3.25
20110104,178500,181000,176000,179000,764987,8154882000000,17.34000015258789,"1,125.50",23.92,126.98,521.35,2085.14,3.25
20110105,178000,178500,175000,178000,452369,8109324000000,17.299999237060547,"1,123.50",23.65,127.64,523.81,2082.55,3.25
20110106,180500,184500,179000,180500,845862,8223219000000,17.420000076293945,"1,123.20",23.55,127.39,527.64,2077.61,3.25
20110107,180500,182000,177500,178000,395998,8109324000000,17.420000076293945,"1,122.20",23.38,127.14,530.84,2086.2,3.25
20110110,176500,178000,173000,174000,635030,7927092000000,17.43000030517578,"1,127.50",23.46,126.98,533.98,2080.81,3.25
20110111,172000,173000,168500,169000,927755,7699302000000,16.860000610351562,"1,126.00",23.77,127.43,533.67,2088.32,3.25
20110112,169500,172000,169000,169500,527201,7722081000000,16.600000381469727,"1,111.50",23.96,128.58,535.43,2094.95,3.25
20110113,171500,173500,169000,170000,487983,7744860000000,16.5,"1,112.50",24.11,128.37,534.27,2089.48,3.25
