date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20141218,106000,116000,99200,113000,12845103,15255000000000,2.1700000762939453,"1,099.74",0.0,0.0,527.52,1897.5,2.0
20141219,118000,129500,117500,129500,4551888,17482500000000,2.049999952316284,"1,100.11",0.0,0.0,535.51,1929.98,2.0
20141222,135000,145500,130500,134500,4401710,18157500000000,1.8200000524520876,"1,100.12",0.0,0.0,536.78,1943.12,2.0
20141223,132000,137500,127000,135000,2873094,18225000000000,1.809999942779541,"1,106.57",0.0,0.0,534.65,1939.02,2.0
20141224,135500,139000,132000,133000,1403337,17955000000000,1.840000033378601,"1,104.35",0.0,0.0,536.89,1946.61,2.0
20141226,134500,138000,130000,135500,1648394,18292500000000,1.8799999952316284,"1,099.80",0.0,0.0,535.17,1948.16,2.0
20141229,140000,155000,138500,149000,4142037,20115000000000,2.069999933242798,"1,100.30",0.0,0.0,539.22,1927.86,2.0
20141230,153500,158000,148500,158000,2518666,21330000000000,2.0799999237060547,"1,096.92",0.0,0.0,542.97,1915.59,2.0
20150102,160500,174000,158500,171000,3083018,23085000000000,2.25,"1,106.92",0.0,0.0,553.73,1926.44,2.0
20150105,177000,179500,145500,145500,6436987,19642500000000,2.809999942779541,"1,109.93",0.0,0.0,561.25,1915.75,2.0
20150106,143000,147500,133500,138500,4596735,18697500000000,2.619999885559082,"1,099.00",0.0,0.0,558.9,1882.45,2.0
20150107,139000,140500,135000,135500,1719259,18292500000000,2.5,"1,098.74",0.0,0.0,561.32,1883.83,2.0
20150108,138000,140500,133000,135000,1699199,18225000000000,2.440000057220459,"1,095.51",0.0,0.0,566.43,1904.65,2.0
20150109,137500,153500,134000,150000,2971066,20250000000000,2.4200000762939453,"1,085.82",0.0,0.0,572.99,1924.7,2.0
20150112,149000,151500,142500,147500,1625748,19912500000000,2.3499999046325684,"1,082.72",0.0,0.0,574.76,1920.95,2.0
20150113,147000,149500,137000,138000,2009453,18630000000000,2.1700000762939453,"1,078.78",0.0,0.0,571.0,1917.14,2.0
20150114,138000,141000,135500,137000,889108,18495000000000,2.0199999809265137,"1,082.85",0.0,0.0,574.17,1913.66,2.0
20150115,138000,144000,136500,140500,1167317,18967500000000,1.950000047683716,"1,075.69",0.0,0.0,581.39,1914.14,2.0
20150116,139500,142000,135500,136000,743075,18360000000000,1.8899999856948853,"1,079.07",0.0,0.0,577.41,1888.13,2.0
20150119,137000,138000,129500,131000,1115099,17685000000000,1.8899999856948853,"1,079.40",0.0,0.0,577.94,1902.62,2.0
20150120,132500,134500,131000,131500,620532,17752500000000,1.8899999856948853,"1,088.02",0.0,0.0,582.27,1918.31,2.0
20150121,132500,133000,122000,124000,1413084,16740000000000,1.8799999952316284,"1,082.30",0.0,0.0,584.34,1921.23,2.0
20150122,123000,130000,122500,124000,876352,16740000000000,1.7999999523162842,"1,085.24",0.0,0.0,578.42,1920.82,2.0
20150123,128500,132500,126500,131000,1028487,17685000000000,1.7599999904632568,"1,077.51",0.0,0.0,589.31,1936.09,2.0
20150126,130500,134000,129000,129500,492693,17482500000000,1.7599999904632568,"1,080.70",0.0,0.0,590.34,1935.68,2.0
20150127,131000,135000,130500,135000,743513,18225000000000,1.830000042915344,"1,078.01",0.0,0.0,587.84,1952.4,2.0
20150128,137000,143000,137000,140000,1457183,18900000000000,1.909999966621399,"1,085.87",0.0,0.0,594.39,1961.58,2.0
20150129,140500,142000,136500,137500,538392,18562500000000,1.8799999952316284,"1,099.96",0.0,0.0,593.12,1951.02,2.0
20150130,144000,146000,135500,136000,919086,18360000000000,1.840000033378601,"1,102.40",0.0,0.0,591.58,1949.26,2.0
20150202,135500,137000,134000,135000,339084,18225000000000,1.8799999952316284,"1,099.45",0.0,0.0,590.27,1952.68,2.0
20150203,136500,139000,132500,138500,437428,18697500000000,1.9600000381469729,"1,093.04",0.0,0.0,593.31,1951.96,2.0
20150204,139500,140500,137500,137500,321206,18562500000000,2.0,"1,088.09",0.0,0.0,598.23,1962.79,2.0
20150205,137500,138500,134000,136000,270183,18360000000000,2.0,"1,086.54",47.86,206.78,600.81,1952.84,2.0
20150206,138500,141500,136500,138500,500370,18697500000000,1.9700000286102293,"1,098.01",48.69,206.52,604.13,1955.52,2.0
20150209,139000,141000,138500,138500,346906,18697500000000,1.9700000286102293,"1,095.23",49.29,207.47,593.75,1947.0,2.0
20150210,138500,139000,136500,136500,205298,18427500000000,1.899999976158142,"1,099.30",49.14,207.75,592.95,1935.86,2.0
20150211,137000,140000,136500,140000,299268,18900000000000,1.919999957084656,"1,108.25",48.74,207.77,601.41,1945.7,2.0
20150212,141000,142500,139000,139000,262841,18765000000000,1.940000057220459,"1,101.56",48.7,208.44,602.24,1941.63,2.0
20150213,140500,150000,139500,147500,1408559,19912500000000,2.009999990463257,"1,097.88",48.85,208.72,608.07,1957.5,2.0
20150216,150000,153500,148000,151500,878719,20452500000000,2.0,"1,101.77",48.63,207.6,610.16,1958.23,2.0
20150217,150500,151000,147000,147000,437959,19845000000000,2.009999990463257,"1,108.87",47.86,205.43,609.1,1961.45,2.0
20150223,149000,150000,146500,149000,285637,20115000000000,2.0299999713897705,"1,108.40",47.61,201.72,615.52,1968.39,2.0
20150224,149500,156000,149000,155000,801969,20925000000000,2.130000114440918,"1,105.83",47.58,199.82,621.31,1976.12,2.0
20150225,156500,160000,156000,156000,700578,21060000000000,2.150000095367432,"1,100.71",48.26,202.31,616.57,1990.47,2.0
20150226,157000,159000,154000,158000,372015,21330000000000,2.200000047683716,"1,102.65",49.01,205.9,617.08,1993.08,2.0
20150227,157500,162000,156000,162000,456798,21870000000000,2.2100000381469727,"1,101.28",48.5,204.25,624.56,1985.8,2.0
20150302,162500,163500,155000,159000,561515,21465000000000,2.2100000381469727,"1,103.05",47.35,202.65,621.81,1996.81,1.5
20150303,159000,160000,152000,155000,593735,20925000000000,2.1600000858306885,"1,096.83",46.71,202.08,625.64,2001.38,1.5
20150304,154000,157000,153500,155500,326457,20992500000000,2.200000047683716,"1,101.52",45.66,200.86,630.35,1998.29,1.5
20150305,155500,156500,153000,155000,252821,20925000000000,2.2100000381469727,"1,102.35",45.76,199.02,631.43,1998.38,1.5
20150306,155000,159000,154000,159000,373985,21465000000000,2.25,"1,110.81",46.29,201.63,635.84,2012.94,1.5
20150309,158000,166000,157000,164500,739332,22207500000000,2.2799999713897705,"1,115.00",45.95,202.06,629.26,1992.82,1.5
20150310,165000,166500,160000,165000,708860,22275000000000,2.299999952316284,"1,127.41",45.7,203.08,621.99,1984.77,1.5
20150311,160000,164500,155500,161000,1249028,21735000000000,2.3399999141693115,"1,132.08",46.54,206.1,619.61,1980.83,1.5
20150312,162000,163500,155500,156500,1789750,21127500000000,1.919999957084656,"1,125.64",46.56,204.97,628.15,1970.59,1.5
