date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,15860,15980,15340,15340,45367500,112978578000000,49.93000030517578,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,15680,15800,15460,15560,28344450,114598870000000,50.06999969482422,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,15720,16300,15700,16160,35954800,119017850000000,50.16999816894531,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,16280,16400,16000,16220,29532550,119459748000000,50.27000045776367,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,16020,16080,15900,15900,17134650,117102959000000,50.22999954223633,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,15940,16100,15860,15980,13311800,117692156000000,50.209999084472656,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,16160,16380,16000,16360,19369300,120490843000000,50.27000045776367,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,16400,16960,16360,16960,36076800,124909823000000,50.34999847412109,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,17000,17020,16680,16800,19744050,123731428000000,50.369998931884766,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,16520,17040,16500,17020,31864350,125351721000000,50.380001068115234,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,17060,17060,16760,16900,18365100,124467925000000,50.36000061035156,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,16960,16980,16640,16740,15702950,123289530000000,50.380001068115234,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,16700,16920,16620,16720,15514400,123142231000000,50.36000061035156,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,16640,16920,16520,16520,21230800,121669238000000,50.34000015258789,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,16480,16560,16280,16400,18793000,120785442000000,50.290000915527344,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,16560,17180,16500,17180,30627550,126530115000000,50.400001525878906,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,17400,17940,17340,17880,39446950,131685592000000,50.470001220703125,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,17800,17980,17700,17800,16842700,131096394000000,50.47999954223633,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,17740,18420,17700,18020,24925400,132716687000000,50.4900016784668,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,18060,18200,17740,17760,16820900,130801796000000,50.4900016784668,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,17700,18360,17680,18340,29482800,135073476000000,50.45000076293945,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,18300,18380,18140,18380,12783400,135368075000000,50.45000076293945,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,18380,18640,18320,18600,15362850,136988367000000,50.459999084472656,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,18740,18740,18420,18580,22161150,136841068000000,50.540000915527344,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,18500,18500,18200,18320,16466450,134926177000000,50.54999923706055,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,18160,18380,18160,18220,11694250,134189680000000,50.52000045776367,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,18280,18580,18240,18520,17306500,136399170000000,50.5,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,18340,18640,18280,18640,16928000,137282966000000,50.5099983215332,"1,155.10",23.49,124.6,497.95,2020.28,2.5
20101221,18620,18800,18500,18720,12606000,137872163000000,50.5099983215332,"1,156.15",24.16,125.39,506.67,2037.09,2.5
20101222,18780,19060,18720,18780,16679550,138314061000000,50.560001373291016,"1,154.30",24.16,125.78,505.01,2038.11,2.5
20101223,18720,18760,18500,18720,10993200,137872163000000,50.540000915527344,"1,152.30",23.82,125.6,502.39,2037.53,2.5
20101224,18780,18780,18500,18500,8486650,136251871000000,50.59000015258789,"1,150.95",23.94,125.65,499.63,2029.6,2.5
20101227,18500,18600,18300,18440,10533650,135809973000000,50.61000061035156,"1,149.10",23.81,125.83,496.68,2022.19,2.5
20101228,18560,19000,18520,18760,15666150,138166762000000,50.619998931884766,"1,144.50",0.0,0.0,494.95,2033.32,2.5
20101229,18700,19020,18640,18900,11926350,139197857000000,50.58000183105469,"1,146.50",23.97,125.92,502.31,2043.49,2.5
20101230,18840,19040,18840,18980,9191550,139787054000000,50.58000183105469,"1,130.95",23.79,125.72,510.69,2051.0,2.5
20110103,19100,19320,19000,19160,13278100,141112748000000,50.59000015258789,"1,124.65",24.11,127.05,518.05,2070.08,3.25
20110104,19120,19220,18980,19160,13724400,141112748000000,50.630001068115234,"1,125.50",23.92,126.98,521.35,2085.14,3.25
20110105,19100,19100,18840,18840,16811200,138755959000000,50.65999984741211,"1,123.50",23.65,127.64,523.81,2082.55,3.25
20110106,18840,18980,18460,18600,19374400,136988367000000,50.59999847412109,"1,123.20",23.55,127.39,527.64,2077.61,3.25
20110107,18300,18580,18280,18420,23172350,135662673000000,50.54999923706055,"1,122.20",23.38,127.14,530.84,2086.2,3.25
20110110,18360,18560,18180,18340,18355350,135073476000000,50.4900016784668,"1,127.50",23.46,126.98,533.98,2080.81,3.25
20110111,18340,18440,18160,18260,19562100,134484279000000,50.43000030517578,"1,126.00",23.77,127.43,533.67,2088.32,3.25
20110112,18280,18660,18280,18600,20605350,136988367000000,50.470001220703125,"1,111.50",23.96,128.58,535.43,2094.95,3.25
20110113,18980,18980,18340,18440,28404150,135809973000000,50.5,"1,112.50",24.11,128.37,534.27,2089.48,3.25
20110114,18560,18680,18300,18660,15384700,137430265000000,50.5,"1,115.05",24.37,129.3,535.2,2108.17,3.25
20110117,18900,19020,18800,18980,20587000,139787054000000,50.56999969482422,"1,115.50",24.4,129.52,533.01,2099.85,3.25
20110118,19000,19620,18980,19380,29640800,142733041000000,50.61000061035156,"1,113.00",23.78,128.25,529.02,2096.48,3.25
20110119,19580,20000,19320,19940,33416000,146857422000000,50.650001525878906,"1,112.60",0.0,0.0,532.97,2115.69,3.25
20110120,19740,19800,19580,19640,15248500,144647932000000,50.61000061035156,"1,124.50",24.01,128.08,533.36,2106.66,3.25
20110121,19520,19680,19400,19420,16690050,143027639000000,50.56999969482422,"1,118.50",24.3,128.37,525.75,2069.92,3.25
20110124,19360,19660,19320,19420,13622750,143027639000000,50.540000915527344,"1,118.50",24.56,129.1,527.09,2082.16,3.25
20110125,19440,19800,19420,19500,13979000,143616837000000,50.54999923706055,"1,121.00",24.3,129.17,522.96,2086.67,3.25
20110126,19700,19980,19600,19960,13356400,147004721000000,50.58000183105469,"1,116.50",24.51,129.67,524.71,2110.46,3.25
20110127,19900,20040,19820,19880,15374500,146415524000000,50.619998931884766,"1,114.45",25.21,129.99,528.63,2115.01,3.25
20110128,19960,20280,19800,20200,19151050,148772313000000,50.63999938964844,"1,115.95",24.5,127.72,527.46,2107.87,3.25
20110131,20180,20200,19620,19620,21442600,144500632000000,50.540000915527344,"1,119.88",24.48,128.68,521.38,2069.73,3.25
20110201,19640,19900,19580,19660,13475900,144795231000000,50.540000915527344,"1,113.95",25.33,130.74,524.5,2072.03,3.25
20110207,20040,20080,19440,19440,24259550,143174939000000,50.5099983215332,"1,103.50",26.78,131.97,531.09,2081.74,3.25
20110208,19400,19480,19180,19220,30500200,141554646000000,50.47999954223633,"1,101.00",25.84,132.57,531.47,2069.7,3.25
20110209,19460,19460,19020,19200,21015050,141407347000000,50.4900016784668,"1,110.65",27.58,132.27,525.74,2045.58,3.25
20110210,19200,19300,18700,18720,30700100,137872163000000,50.400001525878906,"1,119.00",27.82,132.32,522.7,2008.5,3.25
20110211,18700,18860,18260,18300,26544450,134778877000000,50.310001373291016,"1,126.65",28.12,133.11,517.73,1977.19,3.25
20110214,18560,19100,18500,19060,19592600,140376251000000,50.34999847412109,"1,124.00",29.64,133.43,520.35,2014.59,3.25
20110215,19260,19400,18940,19160,18109650,141112748000000,50.400001525878906,"1,123.80",28.28,133.01,520.88,2010.52,3.25
20110216,19040,19400,18900,18900,15221900,139197857000000,50.36000061035156,"1,117.80",28.47,133.85,520.08,1989.11,3.25
20110217,19060,19260,18860,19080,14350450,140523551000000,50.36000061035156,"1,114.85",28.73,134.25,511.08,1977.22,3.25
20110218,19300,19320,19140,19200,10254850,141407347000000,50.380001068115234,"1,112.40",29.09,134.53,518.55,2013.14,3.25
20110221,19280,19300,18840,18960,13768050,139639755000000,50.40999984741211,"1,119.35",0.0,0.0,520.59,2005.3,3.25
20110222,18780,18960,18680,18760,12197300,138166762000000,50.400001525878906,"1,129.80",28.0,131.83,512.06,1969.92,3.25
20110223,18500,18820,18500,18600,17207450,136988367000000,50.36000061035156,"1,130.20",28.0,131.02,507.16,1961.63,3.25
20110224,18520,18680,18400,18580,18119600,136841068000000,50.400001525878906,"1,131.25",28.02,130.93,501.11,1949.88,3.25
20110225,18560,18660,18460,18520,15198600,136399170000000,50.369998931884766,"1,127.00",28.41,132.33,509.33,1963.43,3.25
20110228,18400,18680,18400,18460,16281150,135957272000000,50.369998931884766,"1,125.35",28.61,133.15,504.46,1939.3,3.25
20110302,18280,18460,18240,18360,16139000,135220775000000,50.34999847412109,"1,123.50",27.84,131.21,503.46,1928.24,3.25
20110303,18380,18540,18320,18460,18113850,135957272000000,50.34999847412109,"1,115.90",28.39,133.47,510.94,1970.66,3.25
20110304,18680,18900,18540,18900,18575050,139197857000000,50.400001525878906,"1,117.85",28.02,132.47,518.79,2004.68,3.25
20110307,18860,18860,18120,18120,31948250,133453183000000,50.369998931884766,"1,119.35",28.24,131.43,518.77,1980.27,3.25
20110308,18220,18240,17880,17980,24964350,132422088000000,50.31999969482422,"1,115.95",28.38,132.58,524.99,1996.32,3.25
20110309,18120,18160,17640,17800,26383650,131096394000000,50.33000183105469,"1,114.70",27.75,132.39,522.7,2001.47,3.25
20110310,17580,17680,17320,17320,41711450,127561211000000,50.119998931884766,"1,127.45",26.98,129.94,522.17,1981.58,3.25
20110311,17220,17520,17200,17240,27158400,126972013000000,50.09000015258789,"1,126.35",27.19,130.84,518.55,1955.54,3.25
20110314,17600,18020,17060,18000,33356050,132569388000000,50.08000183105469,"1,125.00",26.37,130.05,502.98,1971.23,3.25
20110315,18020,18040,17120,17200,36365600,126677415000000,50.0099983215332,"1,135.05",25.82,128.56,489.44,1923.92,3.25
20110316,17700,17900,17440,17720,39957100,130507197000000,49.9900016784668,"1,137.95",24.49,126.17,492.36,1957.97,3.25
20110317,17560,17800,17360,17800,22522950,131096394000000,50.02000045776367,"1,135.45",24.58,127.85,487.81,1959.03,3.25
20110318,17840,17900,17660,17820,19178100,131243694000000,50.04999923706055,"1,125.45",24.79,127.76,494.79,1981.13,3.25
20110321,17820,17980,17680,17800,14507000,131096394000000,50.09000015258789,"1,121.45",25.36,129.74,506.53,2003.42,3.25
20110322,17840,17940,17400,17500,21836100,128886905000000,50.09999847412109,"1,121.00",25.15,129.29,507.8,2013.66,3.25
20110323,17600,17600,17180,17460,25258800,128592306000000,50.09000015258789,"1,122.90",25.33,129.66,510.17,2012.18,3.25
20110324,17600,17760,17480,17600,15405950,129623401000000,50.09999847412109,"1,118.95",25.58,130.9,513.7,2036.78,3.25
20110325,17840,18200,17800,18200,31115550,134042381000000,50.18000030517578,"1,111.05",25.3,131.3,514.57,2054.04,3.25
20110328,18300,18440,18180,18320,15910750,134926177000000,50.22999954223633,"1,114.10",25.28,130.98,512.74,2056.39,3.25
20110329,18140,18320,18000,18320,17231200,134926177000000,50.2400016784668,"1,111.50",25.75,131.86,514.19,2072.13,3.25
20110330,18320,18580,18320,18520,20712850,136399170000000,50.31999969482422,"1,103.45",25.79,132.77,520.21,2091.38,3.25
20110331,18720,18720,18420,18640,26383300,137282966000000,50.43000030517578,"1,096.50",25.84,132.59,525.42,2106.7,3.25
20110401,18720,18800,18540,18800,22486650,138461360000000,50.58000183105469,"1,087.05",28.23,133.15,532.06,2121.01,3.25
20110404,18800,18900,18780,18900,16737450,139197857000000,50.68000030517578,"1,088.45",27.44,133.26,534.9,2115.87,3.25
