date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,11900,11960,11860,11920,572550,13608718000000,83.1500015258789,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,11900,11920,11760,11900,815800,13585884000000,83.18000030517578,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,11900,12040,11800,11960,1383800,13654385000000,83.1500015258789,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,11980,12100,11800,11960,1419750,13654385000000,83.13999938964844,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,11820,11920,11760,11840,372800,13517384000000,83.12999725341797,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,11960,11960,11720,11880,896850,13563051000000,83.12000274658203,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,11900,12140,11900,12080,1956750,13791385000000,83.12999725341797,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,12020,12100,11960,12000,1786250,13700052000000,83.0199966430664,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,12000,12080,11940,12000,1521450,13700052000000,83.0199966430664,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,11640,12000,11640,11980,912900,13677218000000,82.9800033569336,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,12000,12020,11780,11920,986550,13608718000000,82.97000122070312,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,11940,11980,11800,11940,1107050,13631551000000,83.0,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,11900,11920,11800,11800,653700,13471717000000,82.9800033569336,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,11760,11880,11560,11560,3074650,13197716000000,82.9800033569336,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,11700,11720,11560,11620,844700,13266217000000,83.0,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,11720,12300,11680,12260,1900750,13996886000000,83.05000305175781,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,12320,12600,12300,12420,2897600,14179553000000,83.0199966430664,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,12520,12520,12320,12420,740750,14179553000000,83.0199966430664,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,12440,12640,12300,12460,2617200,14225220000000,82.97000122070312,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,12460,12520,12300,12460,1214900,14225220000000,82.93000030517578,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,12500,12640,12460,12640,1550250,14430721000000,82.91999816894531,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,12500,12640,12480,12600,2979950,14385054000000,82.93000030517578,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,12740,12740,12580,12640,1252550,14430721000000,82.91000366210938,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,12700,12880,12600,12680,1534000,14476388000000,82.9000015258789,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,12640,12660,12380,12600,1193200,14385054000000,82.88999938964844,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,12500,12500,12300,12300,663600,14042553000000,82.83999633789062,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,12400,12520,12380,12520,576450,14293720000000,82.83000183105469,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,12460,12600,12460,12600,846450,14385054000000,82.86000061035156,"1,155.10",23.49,124.6,497.95,2020.28,2.5
20101221,12600,12680,12540,12600,827150,14385054000000,82.83999633789062,"1,156.15",24.16,125.39,506.67,2037.09,2.5
20101222,12600,12760,12600,12680,1407950,14476388000000,82.8499984741211,"1,154.30",24.16,125.78,505.01,2038.11,2.5
20101223,12660,12760,12640,12760,1237850,14567721000000,82.86000061035156,"1,152.30",23.82,125.6,502.39,2037.53,2.5
20101224,12720,12760,12680,12720,678800,14522055000000,82.86000061035156,"1,150.95",23.94,125.65,499.63,2029.6,2.5
20101227,12720,12780,12680,12720,614250,14522055000000,82.87000274658203,"1,149.10",23.81,125.83,496.68,2022.19,2.5
20101228,12720,12920,12720,12800,770300,14613388000000,82.87000274658203,"1,144.50",0.0,0.0,494.95,2033.32,2.5
20101229,12760,12860,12740,12820,1184950,14636222000000,82.8499984741211,"1,146.50",23.97,125.92,502.31,2043.49,2.5
20101230,12800,13140,12800,12980,751000,14818889000000,82.86000061035156,"1,130.95",23.79,125.72,510.69,2051.0,2.5
20110103,13060,13740,12980,13740,600600,15686559000000,82.9000015258789,"1,124.65",24.11,127.05,518.05,2070.08,3.25
20110104,13800,13840,13580,13820,924600,15777893000000,82.93000030517578,"1,125.50",23.92,126.98,521.35,2085.14,3.25
20110105,13540,13600,13380,13580,887200,15503892000000,82.91000366210938,"1,123.50",23.65,127.64,523.81,2082.55,3.25
20110106,13600,13600,13260,13420,587300,15321224000000,82.88999938964844,"1,123.20",23.55,127.39,527.64,2077.61,3.25
20110107,13100,13300,13020,13260,1180350,15138557000000,82.86000061035156,"1,122.20",23.38,127.14,530.84,2086.2,3.25
20110110,13180,13360,13100,13260,1468800,15138557000000,82.91000366210938,"1,127.50",23.46,126.98,533.98,2080.81,3.25
20110111,13280,13360,13080,13160,1228300,15024390000000,82.9000015258789,"1,126.00",23.77,127.43,533.67,2088.32,3.25
20110112,13160,13260,13120,13240,1125600,15115724000000,82.88999938964844,"1,111.50",23.96,128.58,535.43,2094.95,3.25
