date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,26845,26935,25939,26030,858492,1509349000000,29.670000076293945,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,26166,26890,25939,26301,1052825,1525063000000,30.15999984741211,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,26256,27343,26256,27026,678630,1567102000000,30.239999771118164,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,27478,28565,27026,28429,1182104,1648455000000,30.3700008392334,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,28158,28837,27841,28429,944403,1648455000000,30.31999969482422,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,28022,28655,27886,28429,705516,1648455000000,30.520000457763672,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,28565,29878,28474,29516,874727,1711485000000,30.63999938964844,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,29606,29833,27478,27524,1115167,1596199000000,30.63999938964844,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,27841,27931,26392,27116,1724434,1572538000000,30.959999084472656,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,26709,28429,26573,27524,1552406,1596199000000,30.71999931335449,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,27660,27841,27252,27524,512860,1596199000000,30.88999938964844,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,27660,27841,27252,27524,520704,1596199000000,31.149999618530277,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,27705,29153,27660,28972,984265,1680173000000,31.309999465942383,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,29516,29833,29018,29289,800834,1698556000000,31.399999618530277,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,29470,29787,28610,29697,533709,1722218000000,31.40999984741211,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,30240,31010,29968,30512,845692,1769482000000,31.59000015258789,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,30783,31462,30195,30421,833688,1764205000000,31.5,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,30964,31010,30149,30421,409827,1764205000000,31.450000762939453,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,30421,31598,29153,31508,1136565,1827243000000,31.75,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,31689,32458,31417,31689,929007,1837740000000,31.8700008392334,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,31824,32322,31055,31779,627526,1842959000000,32.0099983215332,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,31779,31824,31100,31372,507043,1819356000000,32.09000015258789,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,31598,32005,31100,31553,367745,1829853000000,32.119998931884766,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,31689,32096,31372,31417,365020,1821966000000,32.189998626708984,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,31462,31960,31191,31779,436703,1842959000000,32.34000015258789,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,31598,31915,31462,31508,432003,1827243000000,32.36000061035156,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,31417,31689,30738,30919,531640,1793085000000,32.36000061035156,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,30195,30557,29516,30059,783651,1743211000000,32.33000183105469,"1,155.10",23.49,124.6,497.95,2020.28,2.5
20101221,30512,31236,30285,31055,457412,1800972000000,32.43000030517578,"1,156.15",24.16,125.39,506.67,2037.09,2.5
20101222,31145,31598,30919,31010,355656,1798362000000,32.47999954223633,"1,154.30",24.16,125.78,505.01,2038.11,2.5
20101223,31145,31191,30421,30466,263650,1766814000000,32.5099983215332,"1,152.30",23.82,125.6,502.39,2037.53,2.5
20101224,30647,30693,29516,29968,421826,1737934000000,32.56999969482422,"1,150.95",23.94,125.65,499.63,2029.6,2.5
20101227,29787,29878,28474,28701,651569,1664457000000,32.58000183105469,"1,149.10",23.81,125.83,496.68,2022.19,2.5
20101228,28746,29108,27931,28067,731008,1627689000000,32.56999969482422,"1,144.50",0.0,0.0,494.95,2033.32,2.5
20101229,28339,28791,28067,28655,544215,1661789000000,32.36000061035156,"1,146.50",23.97,125.92,502.31,2043.49,2.5
20101230,28882,30330,28791,30330,585413,1758927000000,32.45000076293945,"1,130.95",23.79,125.72,510.69,2051.0,2.5
20110103,30783,31191,29697,30376,587864,1761595000000,32.43000030517578,"1,124.65",24.11,127.05,518.05,2070.08,3.25
20110104,30104,30330,29697,29878,377725,1732714000000,32.380001068115234,"1,125.50",23.92,126.98,521.35,2085.14,3.25
20110105,29651,30602,28972,30149,687481,1748430000000,32.470001220703125,"1,123.50",23.65,127.64,523.81,2082.55,3.25
20110106,30512,31508,30421,30874,682280,1790475000000,32.66999816894531,"1,123.20",23.55,127.39,527.64,2077.61,3.25
20110107,31236,31372,30466,30964,434139,1795695000000,32.65999984741211,"1,122.20",23.38,127.14,530.84,2086.2,3.25
20110110,31236,31236,30738,30964,339591,1795695000000,32.689998626708984,"1,127.50",23.46,126.98,533.98,2080.81,3.25
20110111,31236,31824,31055,31372,522151,1819356000000,32.68000030517578,"1,126.00",23.77,127.43,533.67,2088.32,3.25
20110112,31462,32051,31100,31689,480199,1837740000000,32.72999954223633,"1,111.50",23.96,128.58,535.43,2094.95,3.25
20110113,31960,32549,31326,31326,476236,1816688000000,32.65999984741211,"1,112.50",24.11,128.37,534.27,2089.48,3.25
20110114,31281,31689,30874,30874,303210,1790475000000,32.650001525878906,"1,115.05",24.37,129.3,535.2,2108.17,3.25
20110117,30693,35491,30466,34405,1963248,1995249000000,32.75,"1,115.50",24.4,129.52,533.01,2099.85,3.25
20110118,33726,33907,31779,31870,1513679,1848236000000,32.72999954223633,"1,113.00",23.78,128.25,529.02,2096.48,3.25
20110119,32277,33635,32277,33137,1095410,1921714000000,32.93000030517578,"1,112.60",0.0,0.0,532.97,2115.69,3.25
20110120,32866,33590,32866,32866,343524,1905997000000,32.88999938964844,"1,124.50",24.01,128.08,533.36,2106.66,3.25
20110121,32594,32956,31915,31915,385680,1850846000000,32.900001525878906,"1,118.50",24.3,128.37,525.75,2069.92,3.25
20110124,31508,32187,31010,32096,364554,1861343000000,32.869998931884766,"1,118.50",24.56,129.1,527.09,2082.16,3.25
20110125,32232,32458,31462,31462,288355,1824575000000,32.81999969482422,"1,121.00",24.3,129.17,522.96,2086.67,3.25
20110126,31326,31960,31326,31598,191803,1832462000000,32.849998474121094,"1,116.50",24.51,129.67,524.71,2110.46,3.25
20110127,31915,32096,31553,31689,192041,1837740000000,32.880001068115234,"1,114.45",25.21,129.99,528.63,2115.01,3.25
20110128,31689,32730,31689,32232,378127,1869230000000,32.880001068115234,"1,115.95",24.5,127.72,527.46,2107.87,3.25
20110131,32232,33092,32141,32503,428572,1884946000000,32.88999938964844,"1,119.88",24.48,128.68,521.38,2069.73,3.25
20110201,32866,33183,32413,32730,283717,1898110000000,32.91999816894531,"1,113.95",25.33,130.74,524.5,2072.03,3.25
20110207,33047,33092,32503,32685,252623,1895501000000,32.900001525878906,"1,103.50",26.78,131.97,531.09,2081.74,3.25
20110208,32730,33907,32730,32820,440084,1903330000000,32.86000061035156,"1,101.00",25.84,132.57,531.47,2069.7,3.25
20110209,32820,32866,31281,31553,539639,1829853000000,32.65999984741211,"1,110.65",27.58,132.27,525.74,2045.58,3.25
20110210,31326,31417,29697,29968,609198,1737934000000,32.4900016784668,"1,119.00",27.82,132.32,522.7,2008.5,3.25
20110211,29968,30874,29968,29968,395387,1737934000000,32.540000915527344,"1,126.65",28.12,133.11,517.73,1977.19,3.25
20110214,30059,31010,29561,31010,322471,1798362000000,32.619998931884766,"1,124.00",29.64,133.43,520.35,2014.59,3.25
20110215,31145,31145,30330,30512,231872,1769482000000,32.599998474121094,"1,123.80",28.28,133.01,520.88,2010.52,3.25
20110216,30512,30964,29742,29742,324978,1724827000000,32.52000045776367,"1,117.80",28.47,133.85,520.08,1989.11,3.25
20110217,29742,30195,27976,28339,681576,1643463000000,32.41999816894531,"1,114.85",28.73,134.25,511.08,1977.22,3.25
20110218,28610,29516,28339,29380,423952,1703834000000,32.43000030517578,"1,112.40",29.09,134.53,518.55,2013.14,3.25
20110221,29742,30195,28972,29063,278453,1685450000000,32.380001068115234,"1,119.35",0.0,0.0,520.59,2005.3,3.25
20110222,28610,28791,27795,28293,413113,1640795000000,32.279998779296875,"1,129.80",28.0,131.83,512.06,1969.92,3.25
20110223,28339,29108,28112,28565,444556,1656570000000,32.310001373291016,"1,130.20",28.0,131.02,507.16,1961.63,3.25
20110224,28203,29516,28158,28384,330392,1646073000000,32.25,"1,131.25",28.02,130.93,501.11,1949.88,3.25
20110225,28746,29516,28701,29063,353054,1687717000000,32.11000061035156,"1,127.00",28.41,132.33,509.33,1963.43,3.25
20110228,29425,29697,28791,29018,400504,1685104000000,31.989999771118164,"1,125.35",28.61,133.15,504.46,1939.3,3.25
20110302,28791,29380,28429,28520,404926,1656184000000,31.93000030517578,"1,123.50",27.84,131.21,503.46,1928.24,3.25
20110303,28610,28882,28384,28791,265658,1671922000000,31.88999938964844,"1,115.90",28.39,133.47,510.94,1970.66,3.25
20110304,29289,30149,29063,30149,504036,1750782000000,31.979999542236328,"1,117.85",28.02,132.47,518.79,2004.68,3.25
20110307,30466,31372,30149,31326,660709,1819132000000,32.040000915527344,"1,119.35",28.24,131.43,518.77,1980.27,3.25
20110308,31598,31824,30964,31236,351809,1813905000000,31.940000534057617,"1,115.95",28.38,132.58,524.99,1996.32,3.25
20110309,31372,31643,30240,30330,357212,1761293000000,31.950000762939453,"1,114.70",27.75,132.39,522.7,2001.47,3.25
20110310,30059,30919,30059,30285,293181,1758680000000,31.8799991607666,"1,127.45",26.98,129.94,522.17,1981.58,3.25
20110311,29697,30376,29561,29651,261821,1721863000000,31.8799991607666,"1,126.35",27.19,130.84,518.55,1955.54,3.25
20110314,28972,29244,28339,28837,477537,1674593000000,31.96999931335449,"1,125.00",26.37,130.05,502.98,1971.23,3.25
20110315,29018,29380,25803,28339,559751,1645674000000,31.989999771118164,"1,135.05",25.82,128.56,489.44,1923.92,3.25
20110316,28339,29289,28203,28837,393307,1674593000000,32.04999923706055,"1,137.95",24.49,126.17,492.36,1957.97,3.25
20110317,28022,28972,27841,28882,453818,1677206000000,32.029998779296875,"1,135.45",24.58,127.85,487.81,1959.03,3.25
20110318,29244,29697,28972,28972,765551,1682433000000,32.130001068115234,"1,125.45",24.79,127.76,494.79,1981.13,3.25
20110321,29425,30104,29199,29289,343219,1700841000000,32.029998779296875,"1,121.45",25.36,129.74,506.53,2003.42,3.25
20110322,29606,29923,29199,29244,275798,1698228000000,32.06999969482422,"1,121.00",25.15,129.29,507.8,2013.66,3.25
20110323,29697,29742,29244,29561,327993,1716636000000,32.099998474121094,"1,122.90",25.33,129.66,510.17,2012.18,3.25
20110324,29606,30285,29606,29968,244864,1740271000000,32.130001068115234,"1,118.95",25.58,130.9,513.7,2036.78,3.25
20110325,30330,30512,29697,29833,278342,1732432000000,32.15999984741211,"1,111.05",25.3,131.3,514.57,2054.04,3.25
20110328,29878,29923,28972,29335,274977,1703512000000,32.13999938964844,"1,114.10",25.28,130.98,512.74,2056.39,3.25
20110329,29335,29651,29018,29516,183847,1714023000000,32.150001525878906,"1,111.50",25.75,131.86,514.19,2072.13,3.25
20110330,29651,31417,29516,31236,939702,1813905000000,32.369998931884766,"1,103.45",25.79,132.77,520.21,2091.38,3.25
20110331,31553,31915,31281,31508,502300,1829701000000,32.45000076293945,"1,096.50",25.84,132.59,525.42,2106.7,3.25
20110401,31508,31870,31055,31598,372162,1834927000000,32.439998626708984,"1,087.05",28.23,133.15,532.06,2121.01,3.25
20110404,31960,32503,31734,32141,516897,1866460000000,32.459999084472656,"1,088.45",27.44,133.26,534.9,2115.87,3.25
20110405,32413,32911,32277,32368,454650,1879642000000,32.4900016784668,"1,087.50",28.0,133.24,537.66,2130.43,3.25
20110406,32413,32458,31236,31372,501783,1821803000000,32.459999084472656,"1,085.85",28.83,133.66,533.98,2126.71,3.25
20110407,31236,31689,30466,31598,577379,1834927000000,32.349998474121094,"1,087.60",29.07,133.32,534.97,2122.14,3.25
20110408,31689,31915,31100,31100,313155,1806008000000,32.290000915527344,"1,082.50",28.45,132.86,534.2,2127.97,3.25
20110411,30964,31055,30421,30783,261431,1787599000000,32.29999923706055,"1,088.25",28.03,132.46,533.11,2122.39,3.25
20110412,30647,31236,29923,29923,344892,1737658000000,32.2599983215332,"1,092.00",27.79,131.47,525.11,2089.4,3.25
20110413,29878,31145,29742,31100,241336,1806008000000,32.27000045776367,"1,086.55",27.76,131.46,528.7,2121.92,3.25
20110414,30874,31236,30466,30874,182071,1792884000000,32.2400016784668,"1,086.30",27.81,131.56,531.47,2141.06,3.25
20110415,30828,31553,30783,31417,265333,1824416000000,32.2400016784668,"1,088.00",28.21,132.04,534.58,2140.5,3.25
20110418,31598,32232,31281,31643,382101,1837540000000,32.2400016784668,"1,088.50",27.57,130.56,528.52,2137.72,3.25
20110419,31779,33862,31508,33318,1434829,1934809000000,32.380001068115234,"1,085.45",27.4,131.31,526.62,2122.68,3.25
20110420,34043,34631,32956,33364,1004502,1937480000000,32.27000045776367,"1,078.70",27.32,133.1,532.25,2169.91,3.25
20110421,33454,34314,32322,33726,968732,1958502000000,32.20000076293945,"1,080.95",27.54,133.78,529.58,2198.54,3.25
20110422,33680,34088,33001,33273,344139,1932196000000,32.220001220703125,"1,081.05",0.0,0.0,525.26,2197.82,3.25
20110425,33499,34314,33273,33364,536674,1937480000000,32.349998474121094,"1,082.28",27.23,133.64,528.6,2216.0,3.25
20110426,34133,34360,32685,32685,733119,1898050000000,32.47999954223633,"1,083.00",27.28,134.79,521.68,2206.3,3.25
20110427,33047,33273,32141,32322,431010,1876970000000,32.439998626708984,"1,077.55",27.48,135.67,518.39,2206.7,3.25
20110428,32322,32775,31779,32141,406351,1866460000000,32.38999938964844,"1,073.40",27.24,136.11,514.67,2208.35,3.25
20110429,32051,33409,31462,33228,738531,1929583000000,32.2400016784668,"1,068.50",27.12,136.43,511.0,2192.36,3.25
20110502,33771,33862,33047,33273,408614,1932196000000,32.20000076293945,"1,065.95",27.14,136.22,516.76,2228.96,3.25
