date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,16060,16120,15640,15660,735810,1041891000000,34.18000030517578,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,15800,15800,15100,15640,641210,1040560000000,34.20000076293945,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,15520,15580,15260,15580,456795,1038173000000,34.13999938964844,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,15420,15560,15120,15180,415580,1011519000000,34.2400016784668,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,14820,15260,14800,14880,516065,991528000000,34.310001373291016,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,15100,15720,15040,15720,645270,1047502000000,34.650001525878906,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,15740,15760,15520,15660,292705,1043504000000,34.77000045776367,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,16180,16200,15640,15800,1611130,1052833000000,35.31999969482422,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,15920,16000,15580,15940,472085,1062161000000,35.61000061035156,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,15300,16000,15300,16000,910615,1066160000000,35.4900016784668,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,16020,16020,15680,15900,383195,1059496000000,35.4900016784668,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,15800,15860,15080,15080,429225,1004855000000,35.459999084472656,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,15200,15340,14900,14960,425405,996859000000,35.5,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,15000,15300,14820,15300,761470,1019515000000,35.5,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,15220,15300,14860,15260,987060,1016850000000,35.56999969482422,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,15320,15360,15120,15120,275415,1007521000000,35.56999969482422,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,15200,15300,14960,15140,304615,1008853000000,35.58000183105469,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,15140,15240,14840,14940,475350,995526000000,35.619998931884766,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,14940,15100,14860,15100,341165,1006188000000,35.470001220703125,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,15100,15120,14920,15000,181475,999525000000,35.470001220703125,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,15140,15260,14960,15260,427115,1016850000000,35.66999816894531,"1,139.00",22.63,123.76,506.45,1988.96,2.5
