date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,12680,13140,12577,12952,316380,765074000000,3.849999904632568,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,12952,13121,12173,12483,292080,737370000000,3.839999914169312,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,12577,12577,11911,12408,279950,732940000000,3.7799999713897705,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,12408,12718,11929,12568,220910,742391000000,3.7699999809265137,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,12258,12530,12248,12483,204020,737370000000,3.7899999618530273,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,12624,12708,12361,12539,160140,740678000000,3.75,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,12708,13469,12511,13422,655350,792837000000,3.809999942779541,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,13609,13938,13234,13328,258930,787284000000,3.809999942779541,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,13328,13328,12952,12971,152710,766196000000,3.819999933242798,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,12399,12981,12389,12840,240630,758458000000,3.819999933242798,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,13046,13487,12952,13422,367820,792837000000,3.819999933242798,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,13281,13525,12859,12859,217050,759581000000,3.819999933242798,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,12680,13140,12680,12812,130440,756804000000,3.7899999618530273,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,12812,13516,12812,13506,326520,797799000000,3.75,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,13506,13609,13262,13384,162360,790592000000,3.7699999809265137,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,13384,13844,13384,13562,177070,801107000000,3.7799999713897705,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,13694,13788,13187,13562,174570,801107000000,3.7799999713897705,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,13684,13741,13375,13403,150750,791715000000,3.7699999809265137,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,13581,13581,13206,13487,134420,796677000000,3.819999933242798,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,13609,13966,13422,13422,263940,792837000000,3.950000047683716,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,13478,13797,13422,13731,153830,811090000000,3.990000009536743,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,13703,14154,13562,14154,327440,836076000000,4.0,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,14360,14642,14032,14210,395200,839384000000,4.019999980926514,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,14210,14285,14013,14210,177420,839384000000,4.039999961853027,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,14088,14210,13910,14079,145840,831646000000,4.059999942779541,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,13910,14079,13816,13825,145270,816642000000,4.059999942779541,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,13966,14079,13835,14079,100720,831646000000,4.139999866485596,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,13703,13891,13619,13760,135210,812803000000,4.139999866485596,"1,155.10",23.49,124.6,497.95,2020.28,2.5
20101221,13891,14013,13469,13469,246020,795613000000,4.139999866485596,"1,156.15",24.16,125.39,506.67,2037.09,2.5
20101222,13497,13619,12981,13281,419260,784508000000,4.150000095367432,"1,154.30",24.16,125.78,505.01,2038.11,2.5
20101223,13187,13469,13093,13281,113090,784508000000,4.150000095367432,"1,152.30",23.82,125.6,502.39,2037.53,2.5
20101224,13234,13281,13056,13056,97260,771217000000,4.150000095367432,"1,150.95",23.94,125.65,499.63,2029.6,2.5
20101227,12952,13225,12905,12905,118270,762298000000,4.150000095367432,"1,149.10",23.81,125.83,496.68,2022.19,2.5
20101228,13149,13328,12765,13300,148110,785631000000,4.239999771118164,"1,144.50",0.0,0.0,494.95,2033.32,2.5
20101229,13375,13600,13234,13553,183390,800575000000,4.21999979019165,"1,146.50",23.97,125.92,502.31,2043.49,2.5
20101230,13600,14032,13337,14032,386610,828870000000,4.380000114440918,"1,130.95",23.79,125.72,510.69,2051.0,2.5
20110103,14004,14004,13478,13581,237550,802229000000,4.380000114440918,"1,124.65",24.11,127.05,518.05,2070.08,3.25
20110104,13609,13638,13431,13440,274820,793900000000,4.400000095367432,"1,125.50",23.92,126.98,521.35,2085.14,3.25
20110105,13478,13609,13281,13328,138470,787284000000,4.420000076293945,"1,123.50",23.65,127.64,523.81,2082.55,3.25
20110106,13225,13422,13225,13262,213040,783386000000,4.409999847412109,"1,123.20",23.55,127.39,527.64,2077.61,3.25
20110107,13328,13422,13074,13225,226480,781200000000,4.400000095367432,"1,122.20",23.38,127.14,530.84,2086.2,3.25
20110110,13281,13281,13074,13215,147440,780610000000,4.409999847412109,"1,127.50",23.46,126.98,533.98,2080.81,3.25
20110111,13234,13506,13187,13215,207640,780610000000,4.380000114440918,"1,126.00",23.77,127.43,533.67,2088.32,3.25
20110112,13309,13309,12999,13103,304280,773994000000,4.349999904632568,"1,111.50",23.96,128.58,535.43,2094.95,3.25
20110113,13103,13103,12821,12915,329500,762889000000,4.340000152587891,"1,112.50",24.11,128.37,534.27,2089.48,3.25
20110114,12952,12952,12530,12624,296020,745699000000,4.340000152587891,"1,115.05",24.37,129.3,535.2,2108.17,3.25
20110117,12521,12765,12117,12671,427210,748475000000,4.329999923706055,"1,115.50",24.4,129.52,533.01,2099.85,3.25
20110118,12577,12577,12201,12201,225620,720713000000,4.329999923706055,"1,113.00",23.78,128.25,529.02,2096.48,3.25
