date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,32665,33102,31599,31599,2438589,4432802000000,22.479999542236328,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,32278,33102,31502,31987,3069949,4487232000000,22.59000015258789,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,31745,31987,29418,30969,3294153,4344424000000,22.71999931335449,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,30824,31405,30242,30921,1929062,4337690000000,22.920000076293945,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,30533,32326,30484,32132,2217342,4507573000000,22.920000076293945,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,32520,33150,32375,33102,1883321,4643647000000,22.86000061035156,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,33247,33295,32617,32956,1266067,4623166000000,22.81999969482422,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,33295,34071,31841,32229,2162034,4521180000000,22.84000015258789,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,32035,32326,31260,32181,2247886,4514447000000,22.950000762939453,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,31018,32035,31018,31745,1886665,4453283000000,22.989999771118164,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,32278,32714,31987,32035,1441504,4493965000000,22.96999931335449,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,32132,32229,30533,30775,1619751,4317209000000,22.899999618530277,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,30581,31211,30048,30678,1071111,4303601000000,22.8700008392334,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,30727,31599,30291,30775,1869502,4317209000000,22.690000534057617,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,30775,32326,30727,32326,1979653,4534788000000,22.799999237060547,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,32665,32908,31890,32326,1796438,4534788000000,22.81999969482422,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,32762,33150,32375,32568,1162192,4568736000000,22.84000015258789,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,32956,33150,32278,32326,959611,4534788000000,22.81999969482422,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,32278,32472,30872,31454,2068880,4412461000000,22.809999465942383,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,31405,31793,30921,30969,1063360,4344424000000,22.8799991607666,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,31308,31599,30872,31260,1430962,4385246000000,22.8799991607666,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,31114,31793,31066,31260,930920,4385246000000,22.90999984741211,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,31599,31648,30824,30921,1173690,4337690000000,22.90999984741211,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,31260,32181,30872,32181,1793111,4514447000000,22.920000076293945,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,32375,33102,31841,32423,2363073,4548395000000,22.82999992370605,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,32375,33489,32181,32229,2362091,4521180000000,22.65999984741211,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,32520,32665,31502,31551,1546882,4426068000000,22.6299991607666,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,30872,31599,30678,31211,1280242,4378372000000,22.63999938964844,"1,155.10",23.49,124.6,497.95,2020.28,2.5
20101221,31793,32811,31551,32811,1751167,4602825000000,22.65999984741211,"1,156.15",24.16,125.39,506.67,2037.09,2.5
20101222,33053,33441,32132,32375,1558867,4541662000000,22.6200008392334,"1,154.30",24.16,125.78,505.01,2038.11,2.5
20101223,32375,32568,31648,31987,1084002,4487232000000,22.600000381469727,"1,152.30",23.82,125.6,502.39,2037.53,2.5
20101224,32132,32714,31696,32229,1063002,4521180000000,22.63999938964844,"1,150.95",23.94,125.65,499.63,2029.6,2.5
20101227,32035,32181,31018,31018,1527307,4351298000000,22.600000381469727,"1,149.10",23.81,125.83,496.68,2022.19,2.5
20101228,31163,31745,30872,30872,1426122,4330816000000,22.61000061035156,"1,144.50",0.0,0.0,494.95,2033.32,2.5
20101229,30775,31696,30775,31211,1243442,4378372000000,22.700000762939453,"1,146.50",23.97,125.92,502.31,2043.49,2.5
20101230,31114,31308,30048,30048,2574722,4215223000000,22.26000022888184,"1,130.95",23.79,125.72,510.69,2051.0,2.5
20110103,30436,31163,30242,31066,1255919,4358031000000,22.31999969482422,"1,124.65",24.11,127.05,518.05,2070.08,3.25
20110104,31454,32084,31260,32084,1623380,4500839000000,22.350000381469727,"1,125.50",23.92,126.98,521.35,2085.14,3.25
20110105,32084,33344,31987,33247,2981147,4663988000000,22.3799991607666,"1,123.50",23.65,127.64,523.81,2082.55,3.25
20110106,33586,34362,32762,33635,3340074,4718418000000,22.51000022888184,"1,123.20",23.55,127.39,527.64,2077.61,3.25
20110107,33877,34265,33392,34216,1571207,4799923000000,22.520000457763672,"1,122.20",23.38,127.14,530.84,2086.2,3.25
