date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,294000,299500,283000,283000,531819,27548069000000,45.93999862670898,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,289500,298000,283500,286500,506814,27888769000000,46.08000183105469,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,290000,290000,279500,283500,186479,27596740000000,46.08000183105469,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,282000,286500,274000,281500,336501,27402054000000,46.83000183105469,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,278000,284000,276000,280000,258440,27256040000000,46.75,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,282000,291500,282000,291500,330754,28375484000000,46.81999969482422,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,292500,294500,287000,292000,198879,28424156000000,46.84000015258789,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,290000,293500,282000,282000,270581,27450726000000,46.83000183105469,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,280000,286000,274000,276000,266173,26866668000000,46.91999816894531,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,271000,279500,270500,276500,327372,26915339000000,46.88999938964844,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,276000,276500,270000,272500,227019,26525967000000,46.88999938964844,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,273500,276500,269000,271000,192974,26379953000000,46.900001525878906,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,269500,275000,269000,275000,157055,26769325000000,46.90999984741211,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,275000,282000,272500,275000,272394,26769325000000,46.90999984741211,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,279500,288500,276500,288500,241649,28083455000000,46.93999862670898,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,286500,290000,284500,287000,294447,27937441000000,46.93999862670898,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,288500,296500,287000,295500,283300,28764856000000,47.02999877929688,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,303500,304000,296000,300000,253371,29202900000000,47.08000183105469,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,299000,306500,293000,304000,293665,29592272000000,47.20000076293945,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,304000,311500,302000,307000,221462,29884301000000,47.27000045776367,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,313000,314000,304000,314000,321997,30565702000000,47.36000061035156,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,311500,314000,301000,301500,400471,29348914000000,47.29999923706055,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,298500,302500,294000,299500,281924,29154228000000,47.34000015258789,"1,145.90",22.71,124.56,513.41,1996.59,2.5
