date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101111,187500,188500,177500,177500,1434721,39098990000000,42.54999923706055,"1,111.50",21.74,121.64,524.05,1914.73,2.5
20101112,182000,185500,176000,177000,1225661,38988852000000,42.52000045776367,"1,127.45",21.51,120.2,509.35,1913.12,2.5
20101115,178500,179500,175500,176500,560928,38878714000000,42.56999969482422,"1,135.50",21.58,120.03,504.83,1913.81,2.5
20101116,177000,184500,175000,181000,1014037,39869956000000,42.56999969482422,"1,130.80",21.28,118.16,503.04,1899.13,2.5
20101117,177500,187500,177500,186000,915425,40971336000000,42.65999984741211,"1,142.50",21.25,118.22,505.74,1897.11,2.5
20101118,186000,188000,183500,188000,863447,41411888000000,42.58000183105469,"1,130.90",21.83,119.96,514.13,1927.86,2.5
20101119,186500,189500,184000,188000,732382,41411888000000,42.59000015258789,"1,132.15",21.96,120.29,517.04,1940.96,2.5
20101122,188000,189500,179000,180500,935948,39759818000000,42.59000015258789,"1,127.00",21.57,120.19,515.98,1944.34,2.5
20101123,180000,182000,172500,175000,1551986,38548300000000,42.4900016784668,"1,164.50",21.24,118.45,511.58,1928.94,2.5
20101124,171500,181500,171000,180000,1144294,39649680000000,42.52000045776367,"1,147.95",21.52,120.2,505.32,1925.98,2.5
20101125,179000,179500,174000,177500,835889,39098990000000,42.43000030517578,"1,142.15",21.51,119.29,508.28,1927.68,2.5
20101126,176000,177500,173500,175000,617532,38548300000000,42.47999954223633,"1,155.95",0.0,0.0,493.56,1901.8,2.5
20101129,173500,177500,171000,176000,710494,38768576000000,42.43999862670898,"1,165.50",21.48,119.16,494.33,1895.54,2.5
20101130,175500,177500,172000,172500,770492,37997610000000,42.400001525878906,"1,158.00",21.47,118.49,498.39,1904.63,2.5
20101201,173000,180000,172000,179000,670244,39429404000000,42.45000076293945,"1,150.00",22.57,121.01,502.48,1929.32,2.5
20101202,179500,182500,177000,177500,832358,39098990000000,42.5099983215332,"1,150.00",23.25,122.56,505.94,1950.26,2.5
20101203,178500,185500,176000,184000,1240605,40530784000000,42.56999969482422,"1,137.75",22.63,122.89,502.13,1957.26,2.5
20101206,180500,183000,179000,181000,510532,39869956000000,42.56999969482422,"1,138.45",22.81,122.76,502.54,1953.64,2.5
20101207,181000,182500,175500,178000,918058,39209128000000,42.59999847412109,"1,132.50",22.67,122.83,504.49,1962.52,2.5
20101208,179000,182500,178000,180000,678813,39649680000000,42.68999862670898,"1,143.00",22.68,123.28,502.8,1955.72,2.5
20101209,180000,184500,178000,184500,1249056,40640922000000,42.72999954223633,"1,139.00",22.63,123.76,506.45,1988.96,2.5
20101210,185000,186000,176000,177000,1334328,38988852000000,42.59000015258789,"1,143.50",22.84,124.48,509.2,1986.14,2.5
20101213,178500,180500,177000,179500,621465,39539542000000,42.650001525878906,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,180000,184000,178500,182000,656740,40090232000000,42.709999084472656,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,181500,182500,179500,182500,560451,40200370000000,42.68999862670898,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,179500,181000,177000,178000,770015,39209128000000,42.619998931884766,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,178000,181000,176000,178000,739028,39209128000000,42.63999938964844,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,176500,181000,175000,180500,725441,39759818000000,42.66999816894531,"1,155.10",23.49,124.6,497.95,2020.28,2.5
20101221,180000,181000,176500,177500,948469,39098990000000,42.630001068115234,"1,156.15",24.16,125.39,506.67,2037.09,2.5
20101222,177500,181500,175500,181500,833866,39980094000000,42.65999984741211,"1,154.30",24.16,125.78,505.01,2038.11,2.5
20101223,181500,184500,180000,182500,665536,40200370000000,42.65999984741211,"1,152.30",23.82,125.6,502.39,2037.53,2.5
20101224,181500,184000,176500,178500,908997,39319266000000,42.7400016784668,"1,150.95",23.94,125.65,499.63,2029.6,2.5
20101227,178000,178500,172500,172500,1054139,37997610000000,42.7599983215332,"1,149.10",23.81,125.83,496.68,2022.19,2.5
20101228,173000,176000,172500,173500,812721,38217886000000,42.77999877929688,"1,144.50",0.0,0.0,494.95,2033.32,2.5
20101229,173500,176500,173000,176500,633196,38878714000000,42.790000915527344,"1,146.50",23.97,125.92,502.31,2043.49,2.5
20101230,175000,177500,171500,173500,967816,38217886000000,42.75,"1,130.95",23.79,125.72,510.69,2051.0,2.5
20110103,174000,177000,173500,177000,556135,38988852000000,42.790000915527344,"1,124.65",24.11,127.05,518.05,2070.08,3.25
20110104,177000,179000,175000,178000,861467,39209128000000,42.77999877929688,"1,125.50",23.92,126.98,521.35,2085.14,3.25
20110105,177500,190000,177000,189000,2107997,41632164000000,42.900001525878906,"1,123.50",23.65,127.64,523.81,2082.55,3.25
20110106,193000,194500,189000,194000,1574227,42733544000000,43.13999938964844,"1,123.20",23.55,127.39,527.64,2077.61,3.25
20110107,193000,198500,192000,198000,1042749,43614648000000,43.27999877929688,"1,122.20",23.38,127.14,530.84,2086.2,3.25
20110110,196000,201500,195000,198000,837898,43614648000000,43.27999877929688,"1,127.50",23.46,126.98,533.98,2080.81,3.25
20110111,197000,197000,192000,196000,726141,43174096000000,43.34000015258789,"1,126.00",23.77,127.43,533.67,2088.32,3.25
20110112,196000,197000,192500,193500,692473,42623406000000,43.31999969482422,"1,111.50",23.96,128.58,535.43,2094.95,3.25
20110113,193500,195500,190500,192000,1110012,42292992000000,43.2400016784668,"1,112.50",24.11,128.37,534.27,2089.48,3.25
20110114,193000,203000,191500,200500,1350290,44165338000000,43.18000030517578,"1,115.05",24.37,129.3,535.2,2108.17,3.25
